RAND, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.004, 1.000    1.001, 1.000    1.010, 1.000    1.031, 1.000    1.035, 1.000    1.034, 1.000    1.035, 1.000    1.036, 1.000    1.020
0.95, 1.000    0.995, 1.000    0.985, 1.000    0.989, 1.000    1.003, 1.000    1.027, 1.000    1.035, 1.000    1.040, 1.000    1.041, 1.000    1.040, 1.000    1.033
0.9, 1.000    1.002, 1.000    0.993, 1.000    1.005, 1.000    1.003, 1.000    1.029, 1.000    1.032, 1.000    1.034, 1.000    1.036, 1.000    1.032, 1.000    1.040
0.5, 1.000    1.001, 1.000    0.992, 1.000    1.002, 1.000    1.008, 1.000    1.031, 1.000    1.018, 1.000    0.934, 1.000    1.040, 1.000    1.040, 1.000    1.033
0.1, 1.000    1.004, 1.000    1.008, 1.000    1.011, 1.000    1.016, 1.000    1.037, 1.000    1.043, 1.000    1.035, 1.000    1.042, 1.000    1.043, 1.000    1.043
0.05, 1.000    0.917, 1.000    0.989, 1.000    1.006, 1.000    0.908, 1.000    1.037, 1.000    1.034, 1.000    1.035, 1.000    1.042, 1.000    1.036, 1.000    1.042
0.03, 1.000    1.006, 1.000    0.997, 1.000    1.007, 1.000    1.015, 1.000    1.033, 1.000    1.042, 1.000    1.046, 1.000    1.049, 1.000    1.040, 1.000    1.038
0.01, 1.000    1.003, 1.000    1.001, 1.000    1.009, 1.000    1.017, 1.000    1.041, 1.000    1.040, 1.000    1.044, 1.000    1.043, 1.000    1.032, 1.000    1.041
0.005, 1.000    1.002, 1.000    1.009, 1.000    1.005, 1.000    1.020, 1.000    1.041, 1.000    1.042, 1.000    1.044, 1.000    1.041, 1.000    1.042, 1.000    1.041
0.001, 1.000    1.007, 1.000    0.971, 1.000    1.006, 1.000    1.017, 1.000    1.040, 1.000    1.039, 1.000    1.029, 1.000    1.044, 1.000    1.033, 1.000    1.045



RAND, t=2, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.002, 1.000    1.007, 1.000    1.048, 1.000    1.149, 1.000    1.160, 1.000    1.184, 1.000    1.194, 1.000    1.188, 1.000    1.195
0.95, 1.000    0.998, 1.000    1.002, 1.000    1.007, 1.000    1.052, 1.000    1.139, 1.000    1.178, 1.000    1.189, 1.000    1.204, 1.000    1.215, 1.000    1.209
0.9, 1.000    0.986, 1.000    1.011, 1.000    1.014, 1.000    1.061, 1.000    1.157, 1.000    1.181, 1.000    1.186, 1.000    1.198, 1.000    1.205, 1.000    1.204
