CTR, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.995, 1.000    0.958, 1.000    1.011, 1.000    1.062, 1.000    1.064, 1.000    1.075, 1.000    1.083, 1.001    1.079, 1.017    1.056
0.95, 1.000    0.992, 1.000    1.001, 1.000    1.003, 1.000    1.015, 1.000    1.057, 1.000    1.077, 1.000    1.081, 1.000    1.096, 1.001    1.094, 1.017    1.065
0.9, 1.000    1.000, 1.000    1.003, 1.000    0.989, 1.000    1.021, 1.000    1.068, 1.000    1.070, 1.000    1.073, 1.000    1.083, 1.001    1.093, 1.017    1.064
0.5, 1.000    0.998, 1.000    0.991, 1.000    0.987, 1.000    1.015, 1.000    1.064, 1.000    1.070, 1.000    1.081, 1.000    1.088, 1.001    1.094, 1.018    1.058
0.1, 1.000    1.004, 1.000    1.005, 1.000    1.003, 1.000    1.017, 1.000    1.076, 1.000    1.087, 1.000    1.092, 1.000    1.096, 1.001    1.100, 1.016    1.066
0.05, 1.000    1.008, 1.000    1.001, 1.000    1.002, 1.000    1.018, 1.000    1.080, 1.000    1.088, 1.000    1.087, 1.000    1.103, 1.001    1.106, 1.014    1.088
0.03, 1.000    0.998, 1.000    1.001, 1.000    0.999, 1.000    1.023, 1.000    1.080, 1.000    1.074, 1.000    1.101, 1.000    1.103, 1.001    1.104, 1.015    1.086
0.01, 1.000    1.004, 1.000    1.000, 1.000    1.002, 1.000    1.026, 1.000    1.074, 1.000    1.097, 1.000    1.103, 1.000    1.110, 1.001    1.108, 1.015    1.097
0.005, 1.000    1.012, 1.000    1.012, 1.000    1.012, 1.000    1.032, 1.000    1.097, 1.000    1.113, 1.000    1.110, 1.000    1.121, 1.001    1.112, 1.015    1.104
0.001, 1.000    1.017, 1.000    1.020, 1.000    1.017, 1.000    1.049, 1.000    1.101, 1.000    1.118, 1.000    1.117, 1.000    1.124, 1.001    1.114, 1.012    1.103



CTR, t=2, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.012, 1.000    1.013, 1.000    1.089, 1.000    1.232, 1.000    1.266, 1.000    1.279, 1.000    1.294, 1.000    1.292, 1.000    1.305
0.95, 1.000    1.016, 1.000    1.018, 1.000    1.018, 1.000    1.095, 1.000    1.229, 1.000    1.268, 1.000    1.293, 1.000    1.312, 1.000    1.315, 1.000    1.310
0.9, 1.000    0.999, 1.000    1.018, 1.000    1.006, 1.000    1.072, 1.000    1.245, 1.000    1.286, 1.000    1.300, 1.000    1.308, 1.000    1.315, 1.000    1.329
0.5, 1.000    1.007, 1.000    1.027, 1.000    1.022, 1.000    1.098, 1.000    1.293, 1.000    1.334, 1.000    1.354, 1.000    1.380, 1.000    1.358, 1.000    1.388
0.1, 1.000    1.033, 1.000    1.028, 1.000    1.038, 1.000    1.141, 1.000    1.417, 1.000    1.501, 1.000    1.520, 1.000    1.571, 1.000    1.575, 1.001    1.591
0.05, 1.000    1.023, 1.000    1.050, 1.000    1.049, 1.000    1.132, 1.000    1.441, 1.000    1.529, 1.000    1.567, 1.000    1.628, 1.001    1.634, 1.002    1.645
0.03, 1.000    1.041, 1.000    1.047, 1.000    1.037, 1.000    1.137, 1.000    1.461, 1.000    1.545, 1.000    1.606, 1.001    1.649, 1.002    1.667, 1.003    1.682
0.01, 1.000    1.034, 1.000    1.026, 1.000    1.054, 1.000    1.161, 1.000    1.452, 1.000    1.559, 1.000    1.618, 1.001    1.687, 1.004    1.699, 1.017    1.707
0.005, 1.000    1.040, 1.000    1.036, 1.000    1.049, 1.000    1.157, 1.000    1.473, 1.000    1.576, 1.000    1.631, 1.002    1.696, 1.005    1.715, 1.027    1.725
0.001, 1.000    1.041, 1.000    1.026, 1.000    1.054, 1.000    1.135, 1.000    1.479, 1.000    1.586, 1.000    1.625, 1.003    1.704, 1.009    1.723, 1.053    1.711



CTR, t=4, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.998, 1.000    1.007, 1.000    1.064, 1.000    1.230, 1.000    1.278, 1.000    1.296, 1.000    1.318, 1.000    1.319, 1.000    1.324
0.95, 1.000    0.993, 1.000    0.998, 1.000    0.997, 1.000    1.079, 1.000    1.256, 1.000    1.291, 1.000    1.312, 1.000    1.337, 1.000    1.340, 1.000    1.341
