LJ, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.987, 1.000    1.003, 1.000    1.007, 1.000    1.034, 1.000    1.037, 1.000    1.043, 1.000    1.050, 1.000    1.051, 1.000    1.039
0.95, 1.000    0.999, 1.000    0.999, 1.000    1.000, 1.000    1.002, 1.000    1.041, 1.000    1.042, 1.000    1.049, 1.000    1.039, 1.000    1.049, 1.000    1.032
0.9, 1.000    0.984, 1.000    0.975, 1.000    0.991, 1.000    1.010, 1.000    1.041, 1.000    1.046, 1.000    1.047, 1.000    1.044, 1.000    1.048, 1.000    1.051
0.5, 1.000    0.995, 1.000    1.003, 1.000    1.000, 1.000    1.000, 1.000    1.045, 1.000    1.029, 1.000    1.054, 1.000    1.051, 1.000    1.043, 1.000    1.041
0.1, 1.000    1.010, 1.000    1.008, 1.000    1.004, 1.000    1.012, 1.000    1.048, 1.000    1.056, 1.000    1.059, 1.000    1.059, 1.000    1.063, 1.000    1.058
0.05, 1.000    1.009, 1.000    0.996, 1.000    1.013, 1.000    1.018, 1.000    1.046, 1.000    1.066, 1.000    1.057, 1.000    1.058, 1.000    1.061, 1.000    1.064
0.03, 1.000    1.009, 1.000    0.998, 1.000    1.006, 1.000    1.001, 1.000    1.055, 1.000    1.060, 1.000    1.063, 1.000    1.058, 1.000    1.062, 1.000    1.067
0.01, 1.000    1.010, 1.000    1.007, 1.000    1.014, 1.000    1.023, 1.000    1.050, 1.000    1.052, 1.000    1.064, 1.000    1.061, 1.000    1.062, 1.000    1.054
0.005, 1.000    1.004, 1.000    1.006, 1.000    1.000, 1.000    1.017, 1.000    1.053, 1.000    1.061, 1.000    1.061, 1.000    1.067, 1.000    1.067, 1.000    1.070
0.001, 1.000    0.998, 1.000    1.010, 1.000    1.005, 1.000    1.018, 1.000    1.026, 1.000    1.058, 1.000    1.049, 1.000    1.066, 1.000    1.048, 1.000    1.062



LJ, t=2, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.989, 1.000    1.007, 1.000    1.090, 1.000    1.248, 1.000    1.272, 1.000    1.298, 1.000    1.310, 1.000    1.329, 1.000    1.327
0.95, 1.000    0.999, 1.000    0.993, 1.000    1.012, 1.000    1.072, 1.000    1.244, 1.000    1.290, 1.000    1.304, 1.000    1.331, 1.000    1.337, 1.000    1.347
0.9, 1.000    0.987, 1.000    1.002, 1.000    1.020, 1.000    1.080, 1.000    1.251, 1.000    1.281, 1.000    1.313, 1.000    1.341, 1.000    1.340, 1.000    1.341
0.5, 1.000    0.995, 1.000    1.002, 1.000    1.014, 1.000    1.096, 1.000    1.268, 1.000    1.309, 1.000    1.334, 1.000    1.368, 1.000    1.371, 1.000    1.372
0.1, 1.000    1.014, 1.000    1.020, 1.000    1.027, 1.000    1.111, 1.000    1.311, 1.000    1.363, 1.000    1.379, 1.000    1.427, 1.000    1.440, 1.000    1.459
0.05, 1.000    1.014, 1.000    1.020, 1.000    1.018, 1.000    1.109, 1.000    1.323, 1.000    1.368, 1.000    1.404, 1.000    1.444, 1.000    1.456, 1.000    1.473
0.03, 1.000    1.014, 1.000    1.028, 1.000    1.033, 1.000    1.111, 1.000    1.325, 1.000    1.377, 1.000    1.396, 1.000    1.460, 1.000    1.466, 1.000    1.483
0.01, 1.000    1.025, 1.000    1.016, 1.000    1.024, 1.000    1.117, 1.000    1.324, 1.000    1.362, 1.000    1.416, 1.000    1.466, 1.000    1.489, 1.000    1.505
0.005, 1.000    1.019, 1.000    1.032, 1.000    1.019, 1.000    1.108, 1.000    1.335, 1.000    1.389, 1.000    1.423, 1.000    1.470, 1.000    1.501, 1.000    1.512
0.001, 1.000    1.008, 1.000    1.024, 1.000    1.027, 1.000    1.120, 1.000    1.325, 1.000    1.393, 1.000    1.418, 1.000    1.463, 1.000    1.491, 1.000    1.517



LJ, t=4, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.011, 1.000    1.012, 1.000    1.107, 1.000    1.346, 1.000    1.391, 1.000    1.427, 1.000    1.459, 1.000    1.470, 1.000    1.476
0.95, 1.000    1.005, 1.000    1.015, 1.000    1.022, 1.000    1.117, 1.000    1.341, 1.000    1.402, 1.000    1.432, 1.000    1.461, 1.000    1.477, 1.000    1.481
