G, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.960    1.000, 0.960    1.001, 0.958    1.001, 0.952    1.018, 0.932    0.991, 0.927    1.016, 0.924    1.023, 0.920    0.998, 0.919    0.963, 0.925    0.930
0.95, 0.957    1.012, 0.956    0.996, 0.957    1.008, 0.953    1.014, 0.935    1.010, 0.925    1.028, 0.924    1.009, 0.919    1.003, 0.919    0.987, 0.924    0.936
0.9, 0.959    0.994, 0.956    1.016, 0.956    1.017, 0.952    1.018, 0.935    1.011, 0.927    1.012, 0.922    1.013, 0.922    0.991, 0.917    0.994, 0.906    0.978
0.5, 0.951    1.007, 0.948    1.017, 0.950    1.013, 0.946    1.016, 0.928    1.031, 0.924    1.025, 0.918    1.009, 0.916    1.017, 0.919    0.976, 0.903    0.944
0.1, 0.936    0.966, 0.936    1.009, 0.935    1.015, 0.933    1.028, 0.927    1.043, 0.923    1.051, 0.920    1.033, 0.916    0.986, 0.913    1.022, 0.898    1.018
0.05, 0.935    1.009, 0.931    1.012, 0.934    1.011, 0.936    0.975, 0.930    1.032, 0.928    1.016, 0.925    1.038, 0.918    1.024, 0.913    1.030, 0.897    1.018
0.03, 0.931    1.014, 0.932    1.007, 0.935    0.993, 0.930    0.969, 0.931    1.045, 0.931    1.029, 0.927    1.002, 0.923    1.018, 0.919    1.003, 0.901    1.010
0.01, 0.929    0.992, 0.929    0.991, 0.930    0.996, 0.933    0.999, 0.938    1.027, 0.939    1.008, 0.948    0.982, 0.936    0.953, 0.925    0.991, 0.912    0.992
0.005, 0.930    0.978, 0.938    0.954, 0.927    0.990, 0.925    1.009, 0.943    0.982, 0.941    1.030, 0.946    1.004, 0.941    1.001, 0.932    1.027, 0.906    1.010
0.001, 0.903    1.025, 0.939    0.925, 0.922    0.971, 0.909    1.032, 0.922    1.044, 0.939    1.014, 0.943    1.024, 0.952    0.994, 0.969    0.948, 0.926    0.988



G, t=2, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.948    1.000, 0.949    1.003, 0.949    1.000, 0.944    1.038, 0.930    1.104, 0.928    1.107, 0.927    1.119, 0.930    1.108, 0.935    1.075, 0.926    1.125
0.95, 0.949    0.996, 0.950    0.988, 0.948    0.997, 0.944    1.028, 0.933    1.083, 0.930    1.104, 0.923    1.130, 0.935    1.076, 0.924    1.127, 0.929    1.116
0.9, 0.947    0.990, 0.948    1.005, 0.947    1.006, 0.943    1.001, 0.980    0.950, 0.926    1.119, 0.927    1.112, 0.923    1.107, 0.935    1.093, 0.925    1.128
