G, t=1000, c=1

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.550    1.000, 0.551    0.932, 0.550    1.006, 0.550    1.017, 0.550    1.044, 0.550    1.050, 0.551    1.027, 0.551    1.048, 0.551    0.999, 0.551    1.018
0.95, 0.551    1.000, 0.550    1.001, 0.550    1.000, 0.550    0.994, 0.550    1.028, 0.550    1.029, 0.551    1.045, 0.551    1.034, 0.551    1.033, 0.551    1.020
0.9, 0.550    0.945, 0.550    1.003, 0.551    1.002, 0.550    1.018, 0.550    1.050, 0.551    0.986, 0.551    1.043, 0.551    1.041, 0.551    1.029, 0.551    1.018
0.5, 0.550    1.005, 0.550    1.000, 0.550    1.001, 0.550    0.984, 0.550    1.045, 0.550    1.045, 0.550    1.047, 0.551    1.041, 0.550    1.033, 0.551    1.022
0.1, 0.550    0.998, 0.550    1.001, 0.550    1.002, 0.550    1.009, 0.550    1.050, 0.550    1.046, 0.550    1.051, 0.550    1.043, 0.550    1.045, 0.551    1.027
0.05, 0.550    0.997, 0.550    1.005, 0.550    1.004, 0.550    0.983, 0.550    1.050, 0.550    1.059, 0.550    1.049, 0.550    1.047, 0.550    1.050, 0.551    1.033
0.03, 0.550    0.983, 0.550    1.001, 0.550    0.976, 0.550    1.015, 0.550    1.013, 0.550    1.057, 0.550    1.061, 0.550    1.052, 0.550    1.039, 0.550    1.034
0.01, 0.550    1.000, 0.550    0.979, 0.550    0.985, 0.550    1.002, 0.550    1.045, 0.550    1.060, 0.550    1.059, 0.550    1.050, 0.550    1.059, 0.550    1.037
0.005, 0.550    0.998, 0.550    0.997, 0.550    1.000, 0.550    0.993, 0.550    1.043, 0.550    1.059, 0.550    1.061, 0.550    1.063, 0.550    1.061, 0.550    1.036
0.001, 0.550    0.960, 0.550    0.939, 0.550    0.999, 0.550    1.011, 0.550    1.051, 0.550    1.049, 0.550    1.063, 0.550    1.046, 0.550    1.023, 0.550    1.055



G, t=1000, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
