G, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.947    1.000, 0.949    0.998, 0.947    1.005, 0.942    1.002, 0.925    1.013, 0.919    1.003, 0.915    0.985, 0.909    0.916, 0.917    0.935, 0.882    0.960
0.95, 0.947    1.007, 0.947    0.983, 0.946    0.997, 0.943    1.009, 0.925    1.010, 0.918    1.002, 0.914    0.993, 0.912    0.964, 0.904    0.972, 0.888    0.947
0.9, 0.945    1.011, 0.946    0.998, 0.946    1.001, 0.940    1.016, 0.925    0.978, 0.918    1.000, 0.914    0.996, 0.907    0.980, 0.902    0.973, 0.882    0.953
0.5, 0.938    0.994, 0.938    0.994, 0.936    1.013, 0.936    0.999, 0.921    1.013, 0.917    1.004, 0.912    1.016, 0.907    0.987, 0.895    1.000, 0.873    0.999
0.1, 0.918    1.002, 0.918    0.989, 0.921    0.994, 0.919    1.009, 0.917    1.012, 0.912    0.965, 0.907    1.024, 0.902    1.007, 0.897    1.006, 0.874    0.958
0.05, 0.911    1.002, 0.912    1.000, 0.911    1.018, 0.914    0.992, 0.916    1.005, 0.911    1.029, 0.909    1.033, 0.905    0.997, 0.898    1.010, 0.869    1.016
0.03, 0.906    0.976, 0.909    0.997, 0.910    0.988, 0.909    1.000, 0.912    1.025, 0.917    1.005, 0.915    1.011, 0.907    1.007, 0.898    1.007, 0.880    0.998
0.01, 0.899    0.988, 0.904    0.962, 0.904    0.995, 0.905    0.989, 0.910    1.000, 0.908    1.034, 0.912    1.016, 0.910    1.005, 0.912    0.992, 0.876    1.011
0.005, 0.885    0.988, 0.895    0.915, 0.897    0.961, 0.896    1.007, 0.909    1.007, 0.902    1.032, 0.913    1.003, 0.908    1.020, 0.895    1.036, 0.869    0.979
0.001, 0.848    1.029, 0.852    1.035, 0.855    1.024, 0.850    1.045, 0.866    1.067, 0.895    1.019, 0.879    1.059, 0.895    1.027, 0.888    1.045, 0.861    0.992



G, t=2, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.937    1.000, 0.934    1.008, 0.936    1.009, 0.930    1.049, 0.916    1.124, 0.913    1.119, 0.911    1.109, 0.908    1.072, 0.910    1.105, 0.914    1.117
0.95, 0.932    1.015, 0.936    1.004, 0.933    1.003, 0.931    1.047, 0.916    1.112, 0.914    1.097, 0.909    1.133, 0.902    1.120, 0.903    1.132, 0.910    1.114
