RAND, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.596    1.000, 0.596    1.007, 0.596    1.006, 0.596    1.015, 0.596    1.028, 0.596    1.034, 0.596    1.038, 0.596    1.041, 0.596    1.028+-2.4%, 0.596    1.032+-1.9%
0.95, 0.596    1.006, 0.596    0.995+-1.1%, 0.596    1.008, 0.596    1.013, 0.596    1.025+-0.9%, 0.596    1.031+-0.6%, 0.596    1.033, 0.596    1.027+-2.5%, 0.596    1.030+-2.3%, 0.596    1.045
0.9, 0.596    1.007, 0.596    1.003, 0.596    1.006, 0.596    1.009, 0.596    1.020+-2.4%, 0.596    1.033+-0.7%, 0.596    1.039, 0.596    1.043, 0.596    1.044, 0.596    1.045
0.5, 0.596    1.004, 0.596    1.006, 0.596    1.005, 0.596    1.011, 0.596    1.034, 0.596    1.036, 0.596    1.040, 0.596    1.044, 0.596    1.040, 0.596    1.047
0.1, 0.596    1.005, 0.596    1.007, 0.596    1.006, 0.596    1.015+-0.6%, 0.596    1.029+-0.8%, 0.596    1.035+-0.7%, 0.596    1.046, 0.596    1.047, 0.596    1.045, 0.596    1.050
0.05, 0.596    1.006, 0.596    1.009, 0.596    1.012, 0.596    1.016, 0.596    1.036+-0.6%, 0.596    1.018+-3.2%, 0.596    1.043, 0.596    1.044, 0.596    1.048, 0.596    1.051
0.03, 0.596    1.009, 0.596    1.003+-0.5%, 0.596    1.003, 0.596    1.010+-0.9%, 0.596    1.034, 0.596    1.041, 0.596    1.033+-1.9%, 0.596    1.044, 0.596    1.046, 0.596    1.037+-2.5%
0.01, 0.596    1.008, 0.596    0.997+-2.2%, 0.596    1.003+-0.6%, 0.596    1.012, 0.596    1.035, 0.596    1.038+-0.5%, 0.596    1.045+-0.5%, 0.596    1.046+-0.6%, 0.596    1.033+-2.9%, 0.596    1.047
0.005, 0.596    1.005, 0.596    1.012, 0.596    1.011, 0.596    1.015, 0.596    1.032+-0.8%, 0.596    1.041, 0.596    1.037+-0.7%, 0.596    1.044+-0.5%, 0.596    1.044, 0.596    1.051+-0.5%
0.001, 0.596    1.006, 0.596    1.009, 0.596    1.009, 0.596    1.016, 0.596    1.036, 0.596    1.040, 0.596    1.044+-0.6%, 0.596    1.032+-2.2%, 0.596    1.051, 0.596    1.049



RAND, t=2, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.596    1.000, 0.596    1.004+-0.6%, 0.596    1.006, 0.596    1.045, 0.596    1.105+-0.6%, 0.596    1.123+-1.1%, 0.596    1.140, 0.596    1.149, 0.596    1.151, 0.596    1.154
0.95, 0.596    1.001, 0.596    1.002, 0.596    1.008, 0.596    1.040, 0.596    1.108, 0.596    1.131, 0.596    1.137, 0.596    1.150, 0.596    1.153, 0.596    1.153
0.9, 0.596    1.001, 0.596    0.999, 0.596    1.010, 0.596    1.034, 0.596    1.122, 0.596    1.133, 0.596    1.138, 0.596    1.142+-1.1%, 0.596    1.154, 0.596    1.159
0.5, 0.596    1.002+-0.9%, 0.596    1.009+-0.7%, 0.596    1.015, 0.596    1.049, 0.596    1.122+-0.7%, 0.596    1.144, 0.596    1.151, 0.596    1.164, 0.596    1.167, 0.596    1.173
0.1, 0.596    1.014, 0.596    1.014, 0.596    1.018, 0.596    1.060+-0.6%, 0.596    1.153, 0.596    1.170, 0.596    1.186, 0.596    1.201, 0.596    1.206, 0.596    1.216
0.05, 0.596    1.019, 0.596    1.025, 0.596    1.024, 0.596    1.060, 0.596    1.154+-0.7%, 0.596    1.176, 0.596    1.187+-0.5%, 0.596    1.206+-0.7%, 0.596    1.217, 0.596    1.228
