RAND, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.197, 1.000    1.199, 1.000    1.205, 1.000    1.218, 1.000    1.223, 1.000    1.234, 1.000    1.246, 1.000    1.234, 1.001    1.250
0.95, 1.000    1.201, 1.000    1.192, 1.000    1.198, 1.000    1.198, 1.000    1.227, 1.000    1.233, 1.000    1.233, 1.000    1.246, 1.000    1.246, 1.000    1.251
0.9, 1.000    1.195, 1.000    1.194, 1.000    1.197, 1.000    1.200, 1.000    1.223, 1.000    1.235, 1.000    1.230, 1.000    1.244, 1.000    1.241, 1.000    1.240
0.5, 1.000    1.198, 1.000    1.195, 1.000    1.201, 1.000    1.202, 1.000    1.230, 1.000    1.222, 1.000    1.228, 1.000    1.240, 1.000    1.242, 1.000    1.187
0.1, 1.000    1.197, 1.000    1.192, 1.000    1.202, 1.000    1.208, 1.000    1.231, 1.000    1.236, 1.000    1.241, 1.000    1.246, 1.000    1.250, 1.000    1.254
0.05, 1.000    1.196, 1.000    1.180, 1.000    1.198, 1.000    1.212, 1.000    1.223, 1.000    1.236, 1.000    1.235, 1.000    1.243, 1.000    1.249, 1.000    1.262
0.03, 1.000    1.195, 1.000    1.204, 1.000    1.197, 1.000    1.190, 1.000    1.230, 1.000    1.236, 1.000    1.237, 1.000    1.240, 1.000    1.246, 1.000    1.261
0.01, 1.000    1.199, 1.000    1.193, 1.000    1.194, 1.000    1.207, 1.000    1.233, 1.000    1.234, 1.000    1.242, 1.000    1.251, 1.000    1.231, 1.000    1.263
0.005, 1.000    1.203, 1.000    1.205, 1.000    1.202, 1.000    1.213, 1.000    1.227, 1.000    1.235, 1.000    1.239, 1.000    1.245, 1.000    1.253, 1.000    1.265
0.001, 1.000    1.200, 1.000    1.202, 1.000    1.199, 1.000    1.202, 1.000    1.227, 1.000    1.238, 1.000    1.239, 1.000    1.239, 1.000    1.253, 1.000    1.259



RAND, t=2, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.011, 1.000    1.010, 1.000    1.058, 1.000    1.123, 1.000    1.139, 1.000    1.150, 1.000    1.162, 1.000    1.161, 1.000    1.170
0.95, 1.000    1.003, 1.000    1.007, 1.000    1.015, 1.000    1.055, 1.000    1.128, 1.000    1.138, 1.000    1.147, 1.000    1.169, 1.000    1.168, 1.000    1.174
0.9, 1.000    1.010, 1.000    1.008, 1.000    1.011, 1.000    1.053, 1.000    1.132, 1.000    1.143, 1.000    1.149, 1.000    1.165, 1.000    1.170, 1.000    1.175
