CTR, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.010, 1.000    1.009, 1.000    1.029, 1.000    1.074, 1.001    1.072, 1.002    1.082, 1.016    1.078, 1.050    1.043, 1.254    0.894
0.95, 1.000    1.009, 1.000    1.003, 1.000    1.003, 1.000    1.032, 1.000    1.071, 1.001    1.076+-0.5%, 1.002    1.066, 1.016    1.080, 1.049    1.042, 1.263    0.890
0.9, 1.000    1.009, 1.000    0.996, 1.000    1.013, 1.000    1.019, 1.000    1.077, 1.001    1.077, 1.002    1.086, 1.017    1.072, 1.049    1.037, 1.255    0.891
0.5, 1.000    1.001, 1.000    1.005, 1.000    1.000, 1.000    1.024, 1.000    1.075, 1.001    1.069+-1.5%, 1.002    1.071, 1.016    1.074+-0.8%, 1.048    1.031, 1.245    0.909
0.1, 1.000    1.013, 1.000    1.008, 1.000    1.017, 1.000    1.030, 1.000    1.082, 1.001    1.084+-0.8%, 1.002    1.099, 1.014    1.086, 1.043    1.063, 1.226    0.927+-0.6%
0.05, 1.000    1.006, 1.000    1.018, 1.000    1.011, 1.000    1.036, 1.000    1.083, 1.000    1.085, 1.001    1.092, 1.012    1.092, 1.040    1.065, 1.214    0.946
0.03, 1.000    1.016, 1.000    1.010, 1.000    1.014, 1.000    1.037, 1.000    1.083, 1.000    1.088, 1.001    1.101, 1.011    1.084+-0.7%, 1.036    1.054, 1.195+-0.8%    0.956+-1.1%
0.01, 1.000    1.014, 1.000    1.008, 1.000    1.014, 1.000    1.025, 1.000    1.088, 1.000    1.083, 1.001    1.093, 1.008    1.092, 1.026    1.080, 1.148    0.987
0.005, 1.000    1.008, 1.000    1.008, 1.000    1.007, 1.000    1.032, 1.000    1.078, 1.000    1.093, 1.001    1.091, 1.007    1.093+-1.1%, 1.020    1.076, 1.113    1.016
0.001, 1.001    1.010+-1.8%, 1.001    0.998, 1.001    1.002, 1.000    1.023, 1.000    1.074, 1.000    1.077+-0.7%, 1.001    1.089, 1.004    1.090, 1.011    1.090, 1.049    1.054



CTR, t=2, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.015, 1.000    1.010+-0.5%, 1.000    1.084+-1.0%, 1.000    1.220+-0.6%, 1.000    1.252, 1.001    1.270, 1.001    1.287, 1.002    1.289, 1.002    1.302
0.95, 1.000    1.011+-0.7%, 1.000    1.001, 1.000    1.017, 1.000    1.092, 1.000    1.216, 1.000    1.254+-0.8%, 1.001    1.260, 1.001    1.288+-0.5%, 1.002    1.281+-0.6%, 1.001    1.295
0.9, 1.000    1.001+-0.5%, 1.000    0.999+-0.5%, 1.000    1.025, 1.000    1.071, 1.000    1.223, 1.000    1.259, 1.001    1.275+-0.7%, 1.001    1.293+-0.6%, 1.002    1.300, 1.002    1.300
0.5, 1.000    1.015+-0.6%, 1.000    1.024+-2.0%, 1.000    1.178+-22.0%, 1.000    1.095+-0.9%, 1.000    1.261, 1.001    1.299, 1.001    1.316+-0.7%, 1.002    1.348, 1.003    1.345, 1.004    1.355
0.1, 1.000    1.032+-0.8%, 1.000    1.030, 1.000    1.050+-0.9%, 1.000    1.113, 1.000    1.348+-0.7%, 1.001    1.413, 1.003    1.458, 1.011    1.500, 1.018    1.514, 1.032    1.504
0.05, 1.000    1.035+-1.0%, 1.000    1.037+-1.1%, 1.000    1.055, 1.000    1.133+-0.9%, 1.000    1.368, 1.001    1.440, 1.003    1.493, 1.016    1.546, 1.033    1.544, 1.063+-0.6%    1.530
0.03, 1.000    1.036+-1.0%, 1.000    1.040+-1.4%, 1.000    1.041, 1.000    1.131, 1.000    1.378, 1.002    1.464, 1.004    1.510, 1.021    1.559, 1.046    1.553, 1.097    1.539
0.01, 1.000    1.037+-1.2%, 1.000    1.046+-1.7%, 1.000    1.056+-1.3%, 1.000    1.137+-1.4%, 1.001    1.388+-1.3%, 1.002    1.471, 1.005    1.525, 1.028    1.593, 1.060    1.588, 1.156    1.529
0.005, 1.000    1.045, 1.000    1.050+-1.3%, 1.000    1.050+-1.2%, 1.000    1.129, 1.001    1.394, 1.002    1.479, 1.005    1.538, 1.029    1.604, 1.065    1.596, 1.193    1.519
0.001, 1.000    1.042+-1.3%, 1.000    1.036, 1.000    1.049+-1.6%, 1.000    1.127, 1.001    1.399, 1.002    1.483, 1.005    1.537, 1.033    1.603, 1.071    1.606+-0.6%, 1.221    1.510



CTR, t=4, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.014, 1.000    1.014, 1.000    1.090, 1.001    1.228+-0.6%, 1.001    1.267+-0.5%, 1.002    1.286, 1.002    1.304, 1.002    1.308, 1.003    1.310
0.95, 1.000    1.002+-0.8%, 1.000    1.007, 1.000    1.015, 1.000    1.087, 1.001    1.231, 1.001    1.277+-0.5%, 1.002    1.280, 1.002    1.305, 1.003    1.316+-0.7%, 1.003    1.326
0.9, 1.000    1.012+-1.2%, 1.000    1.009, 1.000    1.011+-1.2%, 1.000    1.089, 1.001    1.245+-0.6%, 1.001    1.276, 1.002    1.297, 1.002    1.316, 1.003    1.310+-0.9%, 1.003    1.317
0.5, 1.000    1.003+-1.8%, 1.000    1.019, 1.000    1.019, 1.000    1.098+-1.3%, 1.001    1.279+-0.8%, 1.002    1.312+-0.9%, 1.002    1.337+-0.6%, 1.004    1.375, 1.004    1.375+-0.9%, 1.005    1.385
0.1, 1.000    1.016+-0.7%, 1.000    1.030, 1.000    1.027+-0.7%, 1.000    1.132, 1.001    1.386, 1.003    1.471+-0.7%, 1.006    1.516, 1.017    1.567+-0.6%, 1.024    1.570, 1.030    1.584
0.05, 1.000    1.021, 1.000    1.032+-0.5%, 1.000    1.043+-0.5%, 1.000    1.135, 1.001    1.410, 1.004    1.504, 1.008    1.568, 1.028    1.633, 1.042    1.631, 1.060    1.639
0.03, 1.000    1.022, 1.000    1.035, 1.000    1.041, 1.000    1.140+-0.5%, 1.002    1.420, 1.004    1.522, 1.010    1.595, 1.038    1.660, 1.059    1.666, 1.094    1.659
0.01, 1.000    1.023+-1.2%, 1.000    1.038, 1.000    1.042, 1.000    1.126+-1.1%, 1.002    1.423, 1.005    1.550+-0.7%, 1.012    1.631, 1.054    1.711, 1.093    1.705, 1.187    1.646
0.005, 1.000    1.029, 1.000    1.052+-1.3%, 1.000    1.045+-0.7%, 1.000    1.123+-0.6%, 1.002    1.439, 1.005    1.565, 1.013    1.642, 1.059    1.724, 1.107    1.688, 1.252    1.597+-0.5%
