CTR, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.008, 1.000    1.007, 1.000    1.028, 1.001    1.070, 1.003    1.062, 1.009    1.073, 1.062    1.025, 1.144    0.966, 1.877    0.605
0.95, 1.000    1.006, 1.000    0.997, 1.000    1.001, 1.000    1.032, 1.001    1.070, 1.003    1.077, 1.009    1.053, 1.061    1.026, 1.147    0.962, 1.870    0.606
0.9, 1.000    1.007, 1.000    0.996, 1.000    1.004, 1.000    1.020, 1.001    1.077, 1.003    1.069, 1.009    1.074, 1.062    1.026, 1.146    0.957, 1.862    0.606
0.5, 1.000    0.997, 1.000    0.999, 1.000    0.997, 1.000    1.020, 1.001    1.072, 1.003    1.074, 1.008    1.061, 1.060    1.034, 1.142    0.953, 1.831    0.622
0.1, 1.000    0.993, 1.000    1.005, 1.000    1.014, 1.000    1.022, 1.001    1.078, 1.003    1.080, 1.007    1.089, 1.049    1.048, 1.120    0.991, 1.739    0.666
0.05, 1.000    0.999, 1.000    1.013, 1.000    1.003, 1.000    1.029, 1.001    1.077, 1.002    1.081, 1.006    1.079, 1.044    1.058, 1.108    1.007, 1.703    0.684
0.03, 1.000    1.006, 1.000    1.002, 1.000    1.008, 1.000    1.032, 1.001    1.077, 1.003    1.081, 1.006    1.089, 1.040    1.060, 1.095    1.002, 1.641    0.706
0.01, 1.002    0.999, 1.001    0.991, 1.001    1.003, 1.001    1.014, 1.002    1.079, 1.004    1.074, 1.007    1.079, 1.032    1.066, 1.071    1.036, 1.486    0.774
0.005, 1.004    0.990, 1.005    0.996, 1.004    0.989, 1.003    1.016, 1.004    1.064, 1.006    1.077, 1.010    1.079, 1.030    1.072, 1.061    1.038, 1.363    0.834
0.001, 1.010    0.949, 1.010    0.957, 1.010    0.965, 1.010    0.985, 1.011    1.050, 1.013    1.053, 1.015    1.061, 1.026    1.049, 1.038    1.055, 1.134    0.966



CTR, t=2, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.028, 1.000    1.016, 1.000    1.105, 1.002    1.255, 1.004    1.289, 1.008    1.308, 1.019    1.313, 1.026    1.298, 1.022    1.310
0.95, 1.000    1.008, 1.000    1.010, 1.000    1.016, 1.000    1.101, 1.002    1.269, 1.005    1.297, 1.008    1.298, 1.020    1.311, 1.020    1.298, 1.033    1.277
0.9, 1.000    1.005, 1.000    1.007, 1.000    1.027, 1.000    1.103, 1.002    1.272, 1.005    1.298, 1.008    1.320, 1.021    1.316, 1.027    1.310, 1.027    1.311
0.5, 1.000    1.023, 1.000    1.024, 1.000    1.053, 1.000    1.131, 1.002    1.306, 1.005    1.353, 1.010    1.375, 1.027    1.376, 1.043    1.355, 1.055    1.359
0.1, 1.000    1.058, 1.000    1.060, 1.000    1.073, 1.000    1.175, 1.002    1.412, 1.007    1.476, 1.017    1.508, 1.067    1.486, 1.104    1.456, 1.183    1.377
0.05, 1.000    1.054, 1.000    1.060, 1.000    1.068, 1.000    1.175, 1.003    1.434, 1.008    1.495, 1.019    1.524, 1.075    1.517, 1.134    1.455, 1.321    1.289
0.03, 1.000    1.059, 1.000    1.069, 1.000    1.068, 1.000    1.172, 1.003    1.438, 1.010    1.511, 1.020    1.540, 1.077    1.519, 1.150    1.452, 1.406    1.238
0.01, 1.000    1.052, 1.000    1.061, 1.000    1.079, 1.000    1.172, 1.004    1.447, 1.012    1.502, 1.024    1.542, 1.079    1.542, 1.147    1.483, 1.588    1.135
0.005, 1.000    1.067, 1.000    1.075, 1.000    1.090, 1.000    1.182, 1.004    1.447, 1.014    1.513, 1.027    1.552, 1.084    1.540, 1.148    1.489, 1.580    1.156
0.001, 1.000    1.052, 1.000    1.065, 1.000    1.073, 1.000    1.197, 1.005    1.448, 1.016    1.510, 1.032    1.531, 1.094    1.526, 1.161    1.479, 1.455    1.259



CTR, t=4, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.037, 1.000    1.022, 1.000    1.136, 1.004    1.334, 1.011    1.373, 1.017    1.376, 1.031    1.382, 1.035    1.384, 1.041    1.377
0.95, 1.000    1.023, 1.000    1.017, 1.000    1.031, 1.000    1.131, 1.005    1.340, 1.010    1.386, 1.017    1.387, 1.030    1.397, 1.036    1.384, 1.041    1.384
0.9, 1.000    1.030, 1.000    1.025, 1.000    1.046, 1.000    1.145, 1.005    1.351, 1.011    1.387, 1.018    1.398, 1.031    1.398, 1.037    1.394, 1.044    1.391
0.5, 1.000    1.024, 1.000    1.034, 1.000    1.040, 1.001    1.168, 1.005    1.412, 1.014    1.463, 1.024    1.474, 1.045    1.474, 1.057    1.458, 1.064    1.465
0.1, 1.000    1.041, 1.000    1.047, 1.000    1.069, 1.001    1.206, 1.008    1.547, 1.022    1.626, 1.042    1.651, 1.109    1.615, 1.156    1.570, 1.229    1.491
0.05, 1.000    1.050, 1.001    1.052, 1.001    1.078, 1.001    1.224, 1.009    1.570, 1.026    1.649, 1.049    1.682, 1.132    1.639, 1.213    1.548, 1.404    1.365
0.03, 1.001    1.050, 1.001    1.062, 1.001    1.082, 1.001    1.222, 1.010    1.580, 1.029    1.671, 1.051    1.693, 1.143    1.636, 1.256    1.529, 1.566    1.262
0.01, 1.001    1.051, 1.001    1.080, 1.001    1.082, 1.001    1.220, 1.013    1.587, 1.034    1.661, 1.061    1.694, 1.170    1.644, 1.302    1.505, 1.882    1.094
0.005, 1.001    1.055, 1.001    1.072, 1.001    1.081, 1.001    1.220, 1.014    1.585, 1.036    1.667, 1.064    1.701, 1.178    1.635, 1.328    1.485, 1.934    1.083
0.001, 1.001    1.057, 1.001    1.092, 1.001    1.086, 1.001    1.212, 1.014    1.578, 1.039    1.667, 1.068    1.689, 1.199    1.599, 1.343    1.480, 1.862    1.140



CTR, t=8, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.001    1.000, 1.001    1.004, 1.001    1.015, 1.002    1.103, 1.014    1.293, 1.029    1.309, 1.042    1.299, 1.063    1.302, 1.071    1.296, 1.079    1.292
0.95, 1.001    0.997, 1.001    1.002, 1.001    1.009, 1.002    1.121, 1.014    1.300, 1.029    1.316, 1.043    1.313, 1.066    1.312, 1.078    1.297, 1.085    1.284
0.9, 1.001    1.007, 1.001    0.998, 1.001    1.015, 1.002    1.121, 1.015    1.310, 1.031    1.326, 1.044    1.330, 1.068    1.313, 1.076    1.301, 1.084    1.301
0.5, 1.001    1.010, 1.001    1.018, 1.001    1.027, 1.002    1.128, 1.017    1.356, 1.038    1.383, 1.057    1.387, 1.091    1.357, 1.106    1.355, 1.122    1.351
0.1, 1.002    1.023, 1.002    1.020, 1.002    1.038, 1.003    1.158, 1.027    1.457, 1.059    1.556, 1.092    1.578, 1.200    1.525, 1.279    1.445, 1.390    1.340
0.05, 1.002    1.031, 1.002    1.033, 1.002    1.037, 1.004    1.157, 1.031    1.499, 1.066    1.567, 1.106    1.617, 1.253    1.536, 1.400    1.401, 1.655    1.221
