LJ, t=1, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.003, 1.000    1.003, 1.000    1.014, 1.000    1.044, 1.000    1.049, 1.000    1.055, 1.000    1.058, 1.000    1.057, 1.000    1.058
0.95, 1.000    1.001, 1.000    1.002, 1.000    1.002, 1.000    1.016, 1.000    1.048, 1.000    1.053, 1.000    1.052, 1.000    1.061, 1.000    1.059, 1.001    1.049
0.9, 1.000    1.002, 1.000    1.001, 1.000    1.006, 1.000    1.012, 1.000    1.050, 1.000    1.054, 1.000    1.055, 1.000    1.057, 1.000    1.053, 1.001    1.049
0.5, 1.000    0.977, 1.000    1.004, 1.000    1.003, 1.000    1.015, 1.000    1.045, 1.000    1.054, 1.000    1.053, 1.000    1.038, 1.000    1.055, 1.001    1.055
0.1, 1.000    1.007, 1.000    1.007, 1.000    1.007, 1.000    1.019, 1.000    1.052, 1.000    1.058, 1.000    1.061, 1.000    1.062, 1.000    1.060, 1.001    1.053
0.05, 1.000    1.005, 1.000    1.010, 1.000    1.005, 1.000    1.012, 1.000    1.051, 1.000    1.055, 1.000    1.058, 1.000    1.046, 1.000    1.050, 1.001    1.060
0.03, 1.000    0.986, 1.000    1.009, 1.000    1.003, 1.000    1.021, 1.000    1.051, 1.000    1.059, 1.000    1.060, 1.000    1.064, 1.000    1.060, 1.001    1.062
0.01, 1.000    1.008, 1.000    1.009, 1.000    1.009, 1.000    1.019, 1.000    1.052, 1.000    1.056, 1.000    1.062, 1.000    1.068, 1.000    1.064, 1.000    1.062
0.005, 1.000    1.005, 1.000    1.004, 1.000    1.007, 1.000    1.019, 1.000    1.051, 1.000    1.061, 1.000    1.062, 1.000    1.067, 1.000    1.061, 1.000    1.068
0.001, 1.000    1.004, 1.000    1.007, 1.000    1.003, 1.000    1.018, 1.000    1.051, 1.000    1.056, 1.000    1.059, 1.000    1.064, 1.000    1.063, 1.000    1.038



LJ, t=2, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.009, 1.000    1.017, 1.000    1.084, 1.000    1.217, 1.000    1.240, 1.000    1.259, 1.000    1.283, 1.000    1.281, 1.000    1.287
0.95, 1.000    1.005, 1.000    1.004, 1.000    1.006, 1.000    1.080, 1.000    1.213, 1.000    1.248, 1.000    1.258, 1.000    1.285, 1.000    1.283, 1.000    1.284
0.9, 1.000    0.997, 1.000    1.009, 1.000    1.008, 1.000    1.076, 1.000    1.220, 1.000    1.250, 1.000    1.263, 1.000    1.282, 1.000    1.279, 1.000    1.289
0.5, 1.000    1.005, 1.000    1.010, 1.000    1.022, 1.000    1.089, 1.000    1.233, 1.000    1.258, 1.000    1.277, 1.000    1.302, 1.000    1.302, 1.000    1.309
0.1, 1.000    1.016, 1.000    1.028, 1.000    1.027, 1.000    1.102, 1.000    1.252, 1.000    1.291, 1.000    1.314, 1.000    1.336, 1.000    1.339, 1.000    1.344
0.05, 1.000    1.019, 1.000    1.025, 1.000    1.029, 1.000    1.106, 1.000    1.255, 1.000    1.293, 1.000    1.315, 1.000    1.339, 1.000    1.349, 1.000    1.354
0.03, 1.000    1.006, 1.000    1.021, 1.000    1.026, 1.000    1.091, 1.000    1.264, 1.000    1.301, 1.000    1.317, 1.000    1.343, 1.000    1.349, 1.000    1.360
0.01, 1.000    1.019, 1.000    1.021, 1.000    1.029, 1.000    1.106, 1.000    1.268, 1.000    1.304, 1.000    1.317, 1.000    1.354, 1.000    1.357, 1.000    1.365
0.005, 1.000    1.021, 1.000    1.021, 1.000    1.028, 1.000    1.106, 1.000    1.270, 1.000    1.307, 1.000    1.327, 1.000    1.357, 1.000    1.357, 1.001    1.366
0.001, 1.000    1.016, 1.000    1.030, 1.000    1.028, 1.000    1.108, 1.000    1.266, 1.000    1.304, 1.000    1.326, 1.000    1.352, 1.000    1.358, 1.001    1.366



LJ, t=4, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.015, 1.000    1.029, 1.000    1.135, 1.000    1.344, 1.000    1.391, 1.000    1.420, 1.000    1.444, 1.000    1.451, 1.000    1.458
0.95, 1.000    1.011, 1.000    1.013, 1.000    1.025, 1.000    1.129, 1.000    1.349, 1.000    1.396, 1.000    1.414, 1.000    1.450, 1.000    1.453, 1.000    1.461
0.9, 1.000    1.007, 1.000    1.018, 1.000    1.028, 1.000    1.131, 1.000    1.351, 1.000    1.400, 1.000    1.425, 1.000    1.452, 1.000    1.449, 1.000    1.465
0.5, 1.000    1.013, 1.000    1.020, 1.000    1.038, 1.000    1.142, 1.000    1.372, 1.000    1.416, 1.000    1.446, 1.000    1.479, 1.000    1.482, 1.000    1.494
0.1, 1.000    1.022, 1.000    1.034, 1.000    1.041, 1.000    1.154, 1.000    1.400, 1.000    1.461, 1.000    1.494, 1.000    1.533, 1.000    1.537, 1.000    1.559
0.05, 1.001    1.159, 1.000    1.030, 1.000    1.044, 1.000    1.156, 1.000    1.406, 1.000    1.467, 1.000    1.499, 1.000    1.540, 1.000    1.558, 1.000    1.567
0.03, 1.000    1.023, 1.000    1.030, 1.000    1.044, 1.000    1.157, 1.000    1.413, 1.000    1.472, 1.000    1.506, 1.000    1.548, 1.000    1.561, 1.000    1.580
0.01, 1.000    1.028, 1.000    1.033, 1.000    1.040, 1.000    1.156, 1.000    1.415, 1.000    1.479, 1.000    1.517, 1.000    1.562, 1.000    1.570, 1.001    1.585
0.005, 1.000    1.020, 1.000    1.035, 1.000    1.043, 1.000    1.157, 1.000    1.419, 1.000    1.478, 1.000    1.516, 1.000    1.558, 1.000    1.568, 1.002    1.582
0.001, 1.000    1.026, 1.000    1.041, 1.000    1.042, 1.000    1.160, 1.000    1.418, 1.000    1.486, 1.000    1.511, 1.000    1.562, 1.001    1.561, 1.003    1.574



LJ, t=8, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.006, 1.000    1.023, 1.000    1.126, 1.000    1.396, 1.000    1.459, 1.000    1.496, 1.000    1.531, 1.000    1.534, 1.000    1.547
0.95, 1.000    1.000, 1.000    1.011, 1.000    1.023, 1.000    1.135, 1.000    1.394, 1.000    1.466, 1.000    1.484, 1.000    1.533, 1.000    1.539, 1.000    1.551
0.9, 1.000    1.002, 1.000    1.011, 1.000    1.023, 1.000    1.140, 1.000    1.396, 1.000    1.470, 1.000    1.498, 1.000    1.536, 1.000    1.538, 1.000    1.555
0.5, 1.000    1.009, 1.000    1.009, 1.000    1.027, 1.000    1.134, 1.000    1.410, 1.000    1.493, 1.000    1.530, 1.000    1.575, 1.000    1.583, 1.000    1.592
0.1, 1.000    1.017, 1.000    1.019, 1.000    1.029, 1.000    1.158, 1.000    1.463, 1.000    1.551, 1.000    1.597, 1.000    1.656, 1.000    1.663, 1.000    1.687
